,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
58,[0.],6369.5322422838035,2547.8128969135214,AI,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,72.9683184868396,Zilany2014,Zilany2014,40.0,72.0,70.0,0.09507432749118053,none
59,[0.],6369.5322422838035,2547.8128969135214,AI,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,82.9683184868396,Zilany2014,Zilany2014,40.0,72.0,80.0,0.09714568909194193,none
60,[0.],7039.487122156315,2815.794848862526,AI,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,72.0,40.0,0.08851810592545431,none
61,[0.],7039.487122156315,2815.794848862526,AI,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,51.60399309617546,Zilany2014,Zilany2014,40.0,72.0,50.0,0.07508946967961004,none
62,[0.],7039.487122156315,2815.794848862526,AI,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,61.60399309617546,Zilany2014,Zilany2014,40.0,72.0,60.0,0.11764127687330442,none
63,[0.],7039.487122156315,2815.794848862526,AI,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,71.60399309617546,Zilany2014,Zilany2014,40.0,72.0,70.0,0.1432322563000963,none
64,[0.],7039.487122156315,2815.794848862526,AI,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,81.60399309617546,Zilany2014,Zilany2014,40.0,72.0,80.0,0.15190114683759803,none
65,[0.],7779.908642904815,3111.963457161926,AI,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,72.0,40.0,0.11554902807146201,none
66,[0.],7779.908642904815,3111.963457161926,AI,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,50.50614153400249,Zilany2014,Zilany2014,40.0,72.0,50.0,0.10013732309023829,none
67,[0.],7779.908642904815,3111.963457161926,AI,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,60.50614153400249,Zilany2014,Zilany2014,40.0,72.0,60.0,0.16760629961900528,none
68,[0.],7779.908642904815,3111.963457161926,AI,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,70.50614153400248,Zilany2014,Zilany2014,40.0,72.0,70.0,0.21881892977418257,none
69,[0.],7779.908642904815,3111.963457161926,AI,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,80.50614153400248,Zilany2014,Zilany2014,40.0,72.0,80.0,0.2394006443577333,none
70,[0.],8598.208568553291,3439.2834274213164,AI,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,72.0,40.0,0.16140620610576367,none
71,[0.],8598.208568553291,3439.2834274213164,AI,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,49.87458796405344,Zilany2014,Zilany2014,40.0,72.0,50.0,0.15727733714579867,none
72,[0.],8598.208568553291,3439.2834274213164,AI,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,59.87458796405344,Zilany2014,Zilany2014,40.0,72.0,60.0,0.2490751707217777,none
73,[0.],8598.208568553291,3439.2834274213164,AI,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,69.87458796405345,Zilany2014,Zilany2014,40.0,72.0,70.0,0.343842592249098,none
74,[0.],8598.208568553291,3439.2834274213164,AI,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,79.87458796405345,Zilany2014,Zilany2014,40.0,72.0,80.0,0.3733083295104691,none
75,[0.],9502.578241168148,3801.0312964672594,AI,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,39.63635223683202,Zilany2014,Zilany2014,40.0,72.0,40.0,0.26303412005878385,none
76,[0.],9502.578241168148,3801.0312964672594,AI,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,49.63635223683202,Zilany2014,Zilany2014,40.0,72.0,50.0,0.2598628709302247,none
77,[0.],9502.578241168148,3801.0312964672594,AI,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,59.63635223683202,Zilany2014,Zilany2014,40.0,72.0,60.0,0.37442353064758027,none
78,[0.],9502.578241168148,3801.0312964672594,AI,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,69.63635223683201,Zilany2014,Zilany2014,40.0,72.0,70.0,0.5390456882145422,none
79,[0.],9502.578241168148,3801.0312964672594,AI,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,79.63635223683201,Zilany2014,Zilany2014,40.0,72.0,80.0,0.620845061538121,none
80,[0.],10502.070577791961,4200.828231116784,AI,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,39.7611214338582,Zilany2014,Zilany2014,40.0,72.0,40.0,0.4503573171850977,none
81,[0.],10502.070577791961,4200.828231116784,AI,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,49.7611214338582,Zilany2014,Zilany2014,40.0,72.0,50.0,0.4375634274498866,none
82,[0.],10502.070577791961,4200.828231116784,AI,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,59.7611214338582,Zilany2014,Zilany2014,40.0,72.0,60.0,0.5544559089762403,none
83,[0.],10502.070577791961,4200.828231116784,AI,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,69.7611214338582,Zilany2014,Zilany2014,40.0,72.0,70.0,0.8142390259962119,none
84,[0.],10502.070577791961,4200.828231116784,AI,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,79.7611214338582,Zilany2014,Zilany2014,40.0,72.0,80.0,0.9701736539853186,none
85,[0.],11606.690691911128,4642.676276764451,AI,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,40.69583774187444,Zilany2014,Zilany2014,40.0,72.0,40.0,0.7568769429450973,none
86,[0.],11606.690691911128,4642.676276764451,AI,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,50.69583774187444,Zilany2014,Zilany2014,40.0,72.0,50.0,0.7327315448942096,none
87,[0.],11606.690691911128,4642.676276764451,AI,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,60.69583774187444,Zilany2014,Zilany2014,40.0,72.0,60.0,0.855094953057524,none
88,[0.],11606.690691911128,4642.676276764451,AI,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,70.69583774187444,Zilany2014,Zilany2014,40.0,72.0,70.0,1.2526324112444076,none
89,[0.],11606.690691911128,4642.676276764451,AI,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,80.69583774187444,Zilany2014,Zilany2014,40.0,72.0,80.0,1.405880979751195,none
90,[0.],12827.49604659581,5130.998418638324,AI,[0.001],0.1,0.01,8551.664031063874,500000.0,250000.0,42.67751829487255,Zilany2014,Zilany2014,40.0,72.0,40.0,1.229080382434112,none
